"","BW_ID","Sel"
"1","BW_02979",2
"2","BW_04330",2
"3","BW_40557",1
"4","BW_06385",2
"5","BW_06774",1
"6","BW_07411",1
"7","BW_07427",1
"8","BW_08749",1
"9","BW_12069",1
"10","BW_13589",1
"11","BW_13618",2
"12","BW_14766",1
"13","BW_15060",1
"14","BW_15061",1
"15","BW_15834",2
"16","BW_16816",1
"17","BW_18272",1
"18","BW_18292",1
"19","BW_19462",2
"20","BW_20536",1
"21","BW_21282",2
"22","BW_22017",1
"23","BW_22050",1
"24","BW_22082",1
"25","BW_22210",1
"26","BW_23401",2
"27","BW_23599",2
"28","BW_26498",1
"29","BW_28643",1
"30","BW_28848",1
"31","BW_28936",2
"32","BW_34031",2
"33","BW_40494",1
"34","BW_33613",1
"35","BW_34569",1
"36","BW_34783",2
"37","BW_34788",1
"38","BW_34792",1
"39","BW_34813",1
"40","BW_34836",2
"41","BW_34859",2
"42","BW_34872",2
"43","BW_35104",2
"44","BW_35209",1
"45","BW_35211",2
"46","BW_35697",2
"47","BW_35754",1
"48","BW_36014",1
"49","BW_36162",1
"50","BW_36256",1
"51","BW_37057",2
"52","BW_38446",2
"53","BW_40142",1
"54","BW_40478",1
"55","BW_40635",1
"56","BW_48243",1
"57","BW_40966",1
"58","BW_43706",1
"59","BW_44705",1
"60","BW_46590",1
"61","BW_47041",1
"62","BW_47741",1
"63","BW_48616",2
"64","BW_48743",1
"65","BW_49073",1
"66","BW_49214",1
"67","BW_50249",1
"68","BW_50370",1
"69","BW_52250",1
"70","BW_52257",1
"71","BW_51798",2
"72","BW_53472",1
"73","BW_53947",1
"74","BW_54042",1
"75","BW_54663",1
"76","BW_54869",1
"77","BW_54947",1
"78","BW_55665",1
"79","BW_56024",1
"80","BW_58897",1
"81","BW_61696",1
"82","BW_61697",1
"83","BW_61863",2
"84","BW_62247",2
"85","BW_63096",1
"86","BW_63099",1
"87","BW_63101",1
"88","BW_63987",1
"89","BW_64344",2
"90","BW_65285",2
"91","BW_68325",1
"92","BW_68337",1
"93","BW_68896",1
"94","BW_68935",1
"95","BW_68963",1
"96","BW_69901",1
"97","BW_70540",2
"98","BW_71025",1
"99","BW_74831",1
"100","BW_79068",1
"101","BW_80592",1
"102","BW_81213",1
"103","BW_81244",1
"104","BW_81276",1
"105","BW_83000",1
"106","BW_83001",1
"107","BW_83002",1
"108","BW_83308",1
"109","BW_84796",1
