"","OBJECTID","BW_ID","Sel","Distance","Rank","BW_ID_ConPoel"
"1",1,"BW_02979",2,589.58106328912,1,"BW_16948"
"2",2,"BW_02979",2,629.358532374826,2,"BW_16949"
"3",3,"BW_02979",2,776.492163673241,3,"BW_02377"
"4",4,"BW_02979",2,894.917562131665,4,"BW_03021"
"5",5,"BW_02979",2,934.834420993947,5,"BW_02485"
"6",6,"BW_02979",2,995.381405697607,6,"BW_02351"
"7",7,"BW_02979",2,1026.84380463643,7,"BW_02255"
"8",8,"BW_02979",2,1113.93664103676,8,"BW_02452"
"9",9,"BW_02979",2,1440.4606231637,9,"BW_17736"
"10",10,"BW_02979",2,1556.00639568685,10,"BW_17742"
"11",11,"BW_02979",2,1588.1405937498,11,"BW_03078"
"12",12,"BW_02979",2,1604.19165067573,12,"BW_03151"
"13",13,"BW_02979",2,1803.80903112351,13,"BW_03230"
"14",14,"BW_02979",2,1882.61347800813,14,"BW_03314"
"15",15,"BW_02979",2,1978.5264525327,15,"BW_03255"
"16",16,"BW_02979",2,2021.99523098351,16,"BW_03191"
"17",17,"BW_02979",2,2037.34049902182,17,"BW_16946"
"18",18,"BW_02979",2,2151.04138230656,18,"BW_16947"
"19",19,"BW_02979",2,2155.10781332293,19,"BW_03354"
"20",20,"BW_02979",2,2217.85475132514,20,"BW_03114"
"21",21,"BW_02979",2,2302.58743355551,21,"BW_03040"
"22",22,"BW_02979",2,2370.72329921255,22,"BW_03234"
"23",23,"BW_02979",2,2434.54778772885,23,"BW_17741"
"24",24,"BW_02979",2,2447.0408124949,24,"BW_02391"
"25",25,"BW_02979",2,2559.63783957376,25,"BW_02486"
"26",26,"BW_02979",2,2576.00686234661,26,"BW_03056"
"27",27,"BW_02979",2,2630.77680753617,27,"BW_17735"
"28",28,"BW_02979",2,2635.81309606941,28,"BW_17734"
"29",29,"BW_02979",2,2686.34557327861,29,"BW_02202"
"30",30,"BW_02979",2,2753.30887134149,30,"BW_02225"
"31",31,"BW_02979",2,2826.70202039473,31,"BW_03286"
"32",32,"BW_04330",2,349.867425476871,1,"BW_04562"
"33",33,"BW_04330",2,530.033929500956,2,"BW_04350"
"34",34,"BW_04330",2,589.165283803086,3,"BW_02424"
"35",35,"BW_04330",2,642.719584181723,4,"BW_04285"
"36",36,"BW_04330",2,734.165766137087,5,"BW_15953"
"37",37,"BW_04330",2,738.698690324524,6,"BW_16144"
"38",38,"BW_04330",2,751.40250922244,7,"BW_02226"
